setName,cardNumber,cardName,rarity,pullRate,costPerPull,specificCardPullRate,isChase,isPromo,isPokemon,pokemonPopularity,priceOnRelease,ebaySoldVolumeFrom2026,ebay_listingCount,ebay_listingCount7d,ebay_listingCount30d,ebay_listingCount90d,ebay_medianPrice,ebay_meanPrice,ebay_minPrice,ebay_maxPrice,ebay_priceStdDev,ebay_priceP10,ebay_priceP25,ebay_priceP50,ebay_priceP75,ebay_priceP90,ebay_medianPrice7d,ebay_medianPrice30d,ebay_medianPrice90d,ebay_listingVelocity7d,ebay_listingVelocity30d,ebay_listingVelocity90d,ebay_recentListingRatio7d,ebay_recentListingRatio30d,ebay_recentListingRatio90d,ebay_medianListingAgeDays,ebay_meanListingAgeDays,ebay_marketIndex,ebay_marketStatus,ebay_mic_liquidityScore,ebay_mic_momentumScore,ebay_mic_stabilityScore,ebay_mic_freshnessScore
Sword & Shield,001,Celebi V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.693,1.31,1,437,17,94,214,2.99,3.0609,0.99,6.0,1.0408,1.98,2.09,2.99,3.96,4.5,3.0,2.99,2.99,2.4286,3.1333,2.3778,0.0389,0.2151,0.4897,93.5714,291.4959,49.42,Stable,56.07,50.33,66.0,21.51
Sword & Shield,009,Dhelmise V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.44799999999999995,0.73,0,655,16,104,236,1.99,2.0969,0.71,4.0,0.7347,1.068,1.5,1.99,2.59,3.0,2.125,1.995,2.0,2.2857,3.4667,2.6222,0.0244,0.1588,0.3603,130.3462,316.1276,50.82,Stable,59.24,56.25,64.96,15.88
Sword & Shield,024,Torkoal V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.507,0.8,1,446,15,85,191,2.245,2.3894,0.71,4.98,0.8096,1.43,1.99,2.245,2.99,3.49,2.49,1.99,2.3,2.1429,2.8333,2.1222,0.0336,0.1906,0.4283,112.2447,311.6391,50.38,Stable,52.88,58.26,66.12,19.06
Sword & Shield,025,Victini V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.705,0.83,0,502,19,102,216,2.49,2.5515,0.99,5.0,0.9005,1.49,1.99,2.49,3.0,3.95,2.84,2.495,2.49,2.7143,3.4,2.4,0.0378,0.2032,0.4303,114.6315,312.3798,53.46,Stable,57.46,64.06,64.71,20.32
Sword & Shield,049,Lapras V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.747,1.51,0,349,13,79,176,3.56,3.725,1.36,7.95,1.2115,2.14,2.95,3.56,4.5,5.0,3.99,3.99,3.97,1.8571,2.6333,1.9556,0.0372,0.2264,0.5043,89.7101,332.031,48.23,Stable,50.18,50.5,67.48,22.64
Sword & Shield,053,Keldeo V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.578,0.97,2,403,16,74,189,2.49,2.533,0.99,5.0,0.8283,1.5,1.99,2.49,2.99,3.694,2.545,2.49,2.49,2.2857,2.4667,2.1,0.0397,0.1836,0.469,106.8011,314.83,47.82,Stable,50.07,52.21,67.3,18.36
Sword & Shield,072,Tapu Koko V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.5770000000000001,0.81,0,502,15,92,203,2.145,2.2777,0.99,4.88,0.7954,1.291,1.75,2.145,2.95,3.046,2.49,2.365,2.25,2.1429,3.0667,2.2556,0.0299,0.1833,0.4044,131.4212,313.1154,51.34,Stable,54.86,60.67,65.08,18.33
Sword & Shield,079,Morpeko V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.49200000000000005,0.95,2,455,30,99,197,2.5,2.5936,0.99,5.59,0.9362,1.494,1.99,2.5,2.99,3.99,2.99,2.71,2.51,4.2857,3.3,2.1889,0.0659,0.2176,0.433,116.4953,332.31,54.4,Stable,55.11,69.12,63.9,21.76
Sword & Shield,086,Wobbuffet V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.5870000000000001,0.88,0,363,13,68,146,2.49,2.5778,0.93,5.49,0.9265,1.49,1.99,2.49,3.0,3.918,2.94,2.72,2.52,1.8571,2.2667,1.6222,0.0358,0.1873,0.4022,135.3571,344.9116,49.89,Stable,44.43,66.67,64.06,18.73
Sword & Shield,091,Indeedee V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.41100000000000003,0.77,0,428,18,82,179,2.25,2.3495,0.71,4.95,0.7933,1.274,1.95,2.25,2.99,3.327,2.44,2.29,2.29,2.5714,2.7333,1.9889,0.0421,0.1916,0.4182,117.3046,360.9821,49.38,Stable,51.12,56.55,66.24,19.16
Sword & Shield,104,Regirock V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.515,0.92,0,447,10,85,182,2.16,2.3691,0.71,5.0,0.8752,1.256,1.78,2.16,2.99,3.46,1.995,2.0,2.155,1.4286,2.8333,2.0222,0.0224,0.1902,0.4072,135.4393,369.1808,44.84,Stable,52.17,42.58,63.06,19.02
Sword & Shield,115,Stonjourner V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.391,0.74,0,550,16,112,235,2.0,2.2112,0.71,4.5,0.7782,1.237,1.5925,2.0,2.83,3.0,1.995,2.17,2.12,2.2857,3.7333,2.6111,0.0291,0.2036,0.4273,120.5821,332.552,48.45,Stable,60.63,44.1,64.81,20.36
Sword & Shield,120,Sableye V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.598,0.98,0,341,11,69,143,2.99,3.033,0.99,5.98,0.9992,1.99,2.25,2.99,3.59,4.5,2.99,2.99,2.99,1.5714,2.3,1.5889,0.0323,0.2023,0.4194,119.2488,331.2509,45.75,Stable,44.29,50.0,67.06,20.23
Sword & Shield,138,Zacian V,Holo Rare V,0.1,1837.7,0.0058823529411764705,False,False,True,0.606,0.89,0,570,27,113,243,2.5,2.656,0.71,5.83,0.9876,1.5,1.99,2.5,3.0,3.991,2.99,2.49,2.49,3.8571,3.7667,2.7,0.0474,0.1982,0.4263,115.5359,322.2261,56.0,Stable,61.5,70.08,62.82,19.82
