set,set_release_date,obs_date,t,rarity,pull_rate,card,number,is_pokemon,is_chase,price_on_release,current_price,popularity_index,ebay_index,set_popularity_index
151,2023-09-22,2026-08-24 16:00:37.865085,0,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,0.85,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,1,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,0.98,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,2,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,0.67,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,3,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,0.74,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,4,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,0.76,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,5,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,0.73,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,6,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,1.03,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,7,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,1.11,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,8,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,1.26,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,9,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,1.22,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,10,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,1.07,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,11,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,1.39,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,12,Double Rare,0.010416666666666666,Venusaur ex,003,True,False,0.85,1.25,0.6455698874513015,0.839349376114082,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,0,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,4.14,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,1,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,4.71,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,2,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,4.37,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,3,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,4.22,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,4,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,4.28,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,5,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,5.61,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,6,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,6.32,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,7,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,10.45,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,8,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,9.3,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,9,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,10.79,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,10,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,10.36,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,11,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,7.48,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,12,Double Rare,0.010416666666666666,Charizard ex,006,True,False,4.14,7.57,0.8534201954397395,0.7432040998217471,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,0,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,0.86,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,1,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,0.92,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,2,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,0.71,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,3,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,0.86,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,4,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,0.99,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,5,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,0.94,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,6,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,1.49,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,7,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,1.66,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,8,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,1.88,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,9,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,1.79,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,10,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,2.23,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,11,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,2.11,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,12,Double Rare,0.010416666666666666,Blastoise ex,009,True,False,0.86,2.56,0.6652794323883253,0.8232620320855617,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,0,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,0.97,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,1,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,1.04,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,2,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,0.93,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,3,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,1.09,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,4,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,0.99,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,5,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,0.9,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,6,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,1.02,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,7,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,1.25,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,8,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,1.45,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,9,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,1.51,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,10,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,1.59,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,11,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,1.51,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,12,Double Rare,0.010416666666666666,Arbok ex,024,True,False,0.97,1.48,0.4300493876511741,0.5858065953654189,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,0,Double Rare,0.010416666666666666,Ninetales ex,038,True,False,1.14,1.14,0.6704756241234962,0.6520944741532977,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,1,Double Rare,0.010416666666666666,Ninetales ex,038,True,False,1.14,1.08,0.6704756241234962,0.6520944741532977,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,2,Double Rare,0.010416666666666666,Ninetales ex,038,True,False,1.14,1.08,0.6704756241234962,0.6520944741532977,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,3,Double Rare,0.010416666666666666,Ninetales ex,038,True,False,1.14,1.06,0.6704756241234962,0.6520944741532977,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,4,Double Rare,0.010416666666666666,Ninetales ex,038,True,False,1.14,0.95,0.6704756241234962,0.6520944741532977,0.811
151,2023-09-22,2026-08-24 16:00:37.865085,5,Double Rare,0.010416666666666666,Ninetales ex,038,True,False,1.14,1.01,0.6704756241234962,0.6520944741532977,0.811
