iter	Passed	Remaining
0	1	1869
1	3	1699
2	4	1626
3	6	1594
4	8	1594
5	9	1562
6	10	1548
7	12	1538
8	13	1519
9	15	1544
10	17	1548
11	18	1534
12	20	1530
13	21	1518
14	23	1515
15	24	1508
16	25	1496
17	27	1483
18	28	1481
19	30	1479
20	31	1482
21	33	1472
22	34	1467
23	35	1458
24	37	1454
25	38	1457
26	40	1452
27	41	1453
28	43	1445
29	44	1439
30	46	1439
31	47	1437
32	48	1431
33	50	1427
34	51	1425
35	53	1426
36	54	1423
37	56	1421
38	57	1417
39	58	1411
40	60	1408
41	61	1404
42	62	1401
43	64	1405
44	66	1403
45	67	1400
46	68	1396
47	70	1393
48	71	1393
49	73	1395
50	74	1392
51	76	1387
52	77	1385
53	78	1381
54	80	1381
55	81	1378
56	83	1375
57	84	1373
58	85	1369
59	87	1366
60	88	1364
61	90	1361
62	91	1359
63	92	1356
64	94	1353
65	95	1351
66	96	1350
67	98	1348
68	99	1345
69	101	1341
70	102	1339
71	103	1336
72	105	1334
73	106	1332
74	107	1330
75	109	1327
76	110	1325
77	111	1323
78	113	1322
79	114	1320
80	116	1317
81	117	1315
82	118	1312
83	120	1311
84	121	1311
85	123	1308
86	124	1307
87	125	1305
88	127	1304
89	128	1302
90	130	1302
91	131	1299
92	133	1298
93	134	1297
94	136	1296
95	137	1297
96	139	1296
97	141	1298
98	142	1296
99	143	1294
100	145	1293
101	146	1292
102	148	1290
103	149	1288
104	151	1287
105	152	1285
106	153	1282
107	155	1281
108	156	1280
109	158	1278
110	159	1276
111	160	1274
112	162	1272
113	163	1272
114	165	1271
115	166	1269
116	167	1267
117	169	1265
118	170	1264
119	172	1262
120	173	1261
121	175	1260
122	176	1258
123	177	1256
124	179	1255
125	180	1253
126	182	1251
127	183	1249
128	184	1248
129	186	1247
130	187	1246
131	189	1244
132	190	1242
133	191	1240
134	193	1238
135	194	1236
136	196	1236
137	197	1234
138	199	1233
139	200	1231
140	201	1229
141	203	1227
142	204	1227
143	206	1225
144	207	1224
145	208	1222
